,NO2,NO,NH3,slope0,slope1,slope2,slope3,slope4,slope5,slope6,slope7,slope8,slope9,slope10,slope11,slope12,slope13,slope14,slope15,slope16,slope17,slope18,slope19,slope20,slope21,slope22,slope23,slope24,slope25,slope26,slope27,slope28,slope29,slope30,slope31,slope32,slope33,slope34,slope35,slope36,slope37,slope38,slope39,slope40,slope41,slope42,slope43,slope44,slope45,slope46,slope47,slope48,slope49,avg0,avg1,avg2,avg3,avg4,avg5,avg6,avg7,avg8,avg9,avg10,avg11,avg12,avg13,avg14,avg15,avg16,avg17,avg18,avg19,avg20,avg21,avg22,avg23,avg24,avg25,avg26,avg27,avg28,avg29,avg30,avg31,avg32,avg33,avg34,avg35,avg36,avg37,avg38,avg39,avg40,avg41,avg42,avg43,avg44,avg45,avg46,avg47,avg48,avg49
mix0,50,100,25,0.00026118983333333327,0.000347359125,0.0003775111666666667,0.00034168908333333334,0.00025509937499999997,0.00025365775,0.00035574395833333326,0.00037277595833333337,0.0003247830416666667,0.00025169895833333333,0.00025074362499999994,0.000363374125,0.0003704177916666667,0.00031392029166666654,0.00024988125,0.00025073970833333327,0.0003673715416666666,0.00036903695833333337,0.00030463258333333334,0.000248731625,0.0002575727916666666,0.0003667191666666667,0.00036814962499999996,0.0002948300833333333,0.0002918775000000001,0.0003515374583333334,0.0002480433333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.5432260869565194e-07,5.6038500000000006e-06,-1.96113043478254e-08,-6.2554617391304345e-06,-7.616739130434708e-08,-4.826260869565149e-08,3.514505652173914e-06,1.0064782608695431e-08,-7.20327e-06,-5.2104782608695285e-08,-3.2020434782607394e-08,1.4516152173913038e-06,2.000478260869584e-08,-7.4683273913043475e-06,-4.177652173912996e-08,3.643447826086949e-07,1.775717391304344e-07,2.3184782608695705e-08,-7.4479782608695666e-06,-3.5487391304348217e-08,2.15753e-06,1.3092260869565264e-07,2.5101304347826382e-08,-7.08924347826087e-06,6.874668695652173e-06,-3.3869126086956518e-06,-5.125043478260858e-08,2.575896956521739e-06,-6.656096086956521e-06,7.253649565217392e-06,-4.847038260869565e-06,-4.33856521739125e-08,1.2729695652173916e-06,-5.873194347826087e-06,7.381139565217389e-06,-5.528912608695653e-06,-2.9667173913043384e-07,-7.976765217391299e-07,-1.1410743478260875e-06,-1.1525000000000004e-06,1.7880086956521642e-07,-1.4896795652173914e-06,-1.2703534782608692e-06,-1.920155217391305e-06,-1.117043913043478e-06,-6.934313043478264e-07,8.882652173913011e-08,4.6877695652173954e-07,2.2367913043478262e-07,-1.4842695652173953e-07
mix1,100,25,100,0.00024408745833333332,0.00033361770833333337,0.00037065533333333333,0.00034172891666666674,0.000256278875,0.0002565292083333333,0.0003507302083333333,0.00037613699999999997,0.0003368871666666667,0.0002591384583333334,0.0002587850833333333,0.00036137666666666665,0.0003777886666666667,0.00032768354166666665,0.0002601605833333333,0.0002597056666666667,0.0003731236666666667,0.0003786205416666667,0.000317637375,0.0002606885833333333,0.00026734362499999996,0.00037719204166666674,0.00037909879166666665,0.00030752391666666665,0.0003041560833333333,0.00035952933333333346,0.00026130766666666665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.579956521739074e-08,6.0094465217391295e-06,1.5551130434782565e-07,-5.702460869565216e-06,-1.3743478260877368e-09,1.8332608695652026e-08,4.710437826086958e-06,6.30139130434776e-08,-6.598459999999999e-06,-2.725434782608747e-08,-6.83999999999989e-09,3.2455991304347823e-06,4.865217391304383e-08,-7.205835217391304e-06,-3.141391304347914e-08,-1.0456521739130135e-08,9.740382608695657e-07,4.2407391304348466e-08,-7.339480434782608e-06,-3.0591304347827214e-08,1.649021304347826e-06,1.6982826086956553e-07,3.714478260869475e-08,-7.00278260869565e-06,6.773014782608694e-06,-3.988275652173913e-06,-5.248173913043491e-08,2.191656086956522e-06,-6.115472173913045e-06,7.232496956521739e-06,-5.433746521739131e-06,3.1071739130434755e-07,1.9711913043478204e-07,-4.911055652173914e-06,7.2019408695652195e-06,-6.4762200000000005e-06,-2.4638252173913046e-06,-3.273145217391304e-06,-3.5730004347826076e-06,-4.232054782608696e-06,-6.433617391304347e-07,1.8428034782608697e-06,2.373381739130435e-06,1.1083665217391297e-06,1.7019334782608697e-06,7.345069565217398e-07,-3.755813043478259e-07,-6.079086956521801e-08,-4.277830434782609e-07,4.4614130434782573e-07
mix2,25,100,50,0.00025789954166666667,0.0003433546666666667,0.00037438075,0.000340175,0.0002555872083333334,0.00025449712499999995,0.00035594279166666667,0.00037265075,0.00032393245833333334,0.0002537988333333333,0.0002529629166666667,0.00036717762499999994,0.0003716158333333333,0.0003080475,0.0002526354166666667,0.0002614764166666667,0.0003693975416666667,0.0003709190833333333,0.0002940706666666666,0.0002518129583333334,0.0002749991666666666,0.0003691616666666667,0.00037039112500000007,0.00028034779166666665,0.0003150144583333333,0.00033065145833333326,0.00026507729166666663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.116130434782647e-08,5.556271304347827e-06,2.6434782608695354e-08,-6.105592173913042e-06,-6.193782608695714e-08,-3.3743043478261256e-08,3.3760500000000005e-06,2.9025217391304482e-08,-7.184962173913043e-06,-4.703217391304348e-08,-2.67069565217397e-08,7.918386956521735e-07,2.9692173913043132e-08,-7.364918260869564e-06,-3.838608695652233e-08,2.1611860869565224e-06,1.3785260869565224e-07,2.707913043478253e-08,-6.737444347826085e-06,-3.270565217391334e-08,4.707208695652175e-06,9.860347826086927e-08,2.538130434782617e-08,-5.400841304347826e-06,7.269485652173914e-06,-6.522353478260871e-06,3.01499e-06,1.1498347826086941e-07,-2.845403913043478e-06,6.57169304347826e-06,-7.315783478260871e-06,5.218948695652175e-06,-2.859904347826086e-07,-7.629130434782535e-08,4.957376521739131e-06,-5.0137082608695656e-06,-3.933603478260868e-06,-3.516300869565217e-06,-2.6233617391304346e-06,-2.0372830434782606e-06,-3.621577391304348e-06,-2.9717386956521744e-06,-9.31717826086957e-07,7.781265217391298e-07,-3.612217391304326e-08,-9.233391304347824e-07,-1.3107304347826249e-07,5.655704347826082e-07,6.93626086956516e-08,-1.512365217391308e-07
mix3,50,25,100,0.00024858149999999995,0.00034061508333333335,0.0003753131249999999,0.0003411361249999999,0.0002611372916666667,0.00026110537500000005,0.0003629167083333334,0.00037947475000000007,0.0003270518333333334,0.0002629660833333334,0.0002670214166666666,0.00037842020833333336,0.0003806369166666666,0.00030842308333333334,0.000263525125,0.0002857328333333333,0.0003796919583333334,0.0003812647916666666,0.00029108858333333335,0.00026379641666666667,0.0003022974166666667,0.00038044320833333334,0.0003817009166666666,0.0002733625,0.0003463250833333333,0.00032341908333333337,0.00029730537499999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5503391304347765e-07,5.76050608695652e-06,1.3381782608695708e-07,-6.197423913043478e-06,-1.5273478260869545e-08,1.2624782608696354e-08,3.245502173913043e-06,5.4564347826087e-08,-7.233967826086959e-06,-3.080869565217422e-08,1.0722495652173906e-06,2.021891304347823e-07,4.27060869565212e-08,-6.874007826086958e-06,-2.9565652173912848e-08,4.52606e-06,1.196004347826086e-07,3.613608695652247e-08,-5.126549565217393e-06,-2.634173913043474e-08,6.422463478260869e-06,8.625347826086914e-08,3.240173913043453e-08,-2.0134252173913046e-06,6.01453304347826e-06,-7.283758260869566e-06,5.869630869565218e-06,-2.1169878260869567e-06,-6.832869565217399e-08,3.360165217391305e-06,-6.5561117391304364e-06,7.094362608695653e-06,-5.04208e-06,2.4565956521739154e-07,2.102686956521744e-07,1.4172060869565213e-06,2.3658621739130443e-06,3.3738039130434773e-06,4.083028695652174e-06,4.817591304347825e-06,2.5109595652173914e-06,3.037732173913044e-06,1.8114465217391307e-06,7.31965217391308e-08,4.306713043478262e-07,6.000130434782553e-08,-3.6789434782608756e-07,4.9733913043478396e-08,-5.9479130434782046e-08,-2.8318726086956513e-06
mix4,100,100,25,0.00025562208333333334,0.00034037558333333337,0.0003707350833333333,0.0003317102499999999,0.0002519140833333333,0.00025067445833333325,0.0003563121666666667,0.0003678956250000001,0.00031054662500000003,0.00024943020833333336,0.0002552625833333334,0.0003648619999999999,0.0003663607916666667,0.00029222275000000006,0.00024791995833333335,0.000270867125,0.00036422816666666666,0.00036536987500000007,0.0002725583333333334,0.00024691366666666656,0.0002888432499999999,0.00036379720833333335,0.00036471599999999996,0.00025261774999999994,0.00033194475,0.00030268033333333337,0.0002813793333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0375391304347897e-07,5.5069808695652165e-06,8.661739130433941e-09,-6.52544347826087e-06,-6.799913043478309e-08,-4.0284782608696156e-08,2.410507826086957e-06,2.1556956521739263e-08,-7.3524160869565215e-06,-4.6176086956521555e-08,1.5349034782608699e-06,1.500739130434777e-07,2.3039565217391426e-08,-6.857088695652172e-06,-3.668999999999998e-08,4.673678695652174e-06,9.400521739130408e-08,2.22108695652171e-08,-4.911780000000001e-06,-2.994260869565146e-08,6.704327826086957e-06,6.75447826086946e-08,2.0816521739130128e-08,-1.364415652173913e-06,5.6982086956521745e-06,-7.3038982608695646e-06,6.103611304347826e-06,-2.407212608695652e-06,-5.989521739130422e-08,3.244869130434782e-06,-6.5450460869565235e-06,7.183792173913043e-06,-5.425966086956523e-06,1.0528404347826091e-06,1.618782608695653e-07,2.3003691304347817e-06,3.17110695652174e-06,3.837979565217392e-06,4.810050869565218e-06,5.863797391304346e-06,3.0646782608695653e-06,2.7905030434782606e-06,9.766817391304344e-07,-7.697217391304344e-07,-3.7450217391304293e-07,-4.271673913043479e-07,4.307695652173898e-08,-7.368086956521772e-08,-2.7492217391304405e-07,-2.755929565217392e-06
mix5,50,50,50,0.000243262875,0.0003275008333333334,0.0003610393749999999,0.0003239936250000001,0.0002446312083333333,0.00024404275,0.0003497037500000001,0.0003617081666666668,0.0003040102083333333,0.0002445947083333334,0.00025330649999999997,0.0003602107083333333,0.00036189479166666666,0.00028442966666666664,0.0002444362083333333,0.0002726263333333333,0.00036075075,0.00036198391666666675,0.00026372812499999995,0.00024429183333333327,0.0002948883333333333,0.00036112025,0.0003577635,0.00024506533333333336,0.000340524125,0.000288958625,0.0002919166250000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.752173913044836e-10,5.766894782608696e-06,5.703086956521731e-08,-6.383742173913044e-06,-3.8658695652174296e-08,-1.4924347826086894e-08,2.4186747826086953e-06,3.935304347826118e-08,-7.313205652173914e-06,-3.178043478260783e-08,2.1063304347826094e-06,1.4706739130434753e-07,3.199695652173946e-08,-6.5363982608695656e-06,-2.7304782608695192e-08,5.361177391304347e-06,9.155652173912976e-08,2.822260869565188e-08,-3.940198695652173e-06,-2.2656521739130593e-08,7.102237391304349e-06,6.701304347826018e-08,-1.0159217391304342e-06,-7.379217391304341e-08,4.1918395652173915e-06,-6.864162173913042e-06,6.983921304347827e-06,-4.735024347826087e-06,-4.45404347826088e-08,2.1222217391304312e-07,-4.86724347826087e-06,7.070212173913042e-06,-6.806432608695652e-06,3.987519130434783e-06,9.93108695652184e-08,6.290235652173913e-06,6.031409565217392e-06,4.919934347826088e-06,3.901488695652174e-06,3.0604278260869554e-06,-1.4601686956521741e-06,-2.2406291304347826e-06,-1.0822739130434781e-06,8.688304347826091e-07,1.8084086956521688e-07,-3.1851826086956425e-07,2.2351565217391276e-07,1.0085534782608698e-06,4.6295565217391245e-07,-3.4843682608695654e-06
mix6,100,25,50,0.0002415728333333333,0.0003273392083333333,0.0003585229999999999,0.00032007950000000003,0.00024205254166666658,0.00024138787499999997,0.0003493955000000001,0.0003585539166666666,0.0002965610833333334,0.00024163437500000003,0.00025497350000000003,0.00035699850000000003,0.00035850529166666663,0.00027632670833333336,0.00024129262500000004,0.000275338875,0.00035733216666666666,0.00035845645833333336,0.00025346866666666666,0.00024101708333333334,0.00029770424999999996,0.0003575383333333333,0.0003488116666666666,0.0002416132083333333,0.000342431875,0.0002794519166666666,0.00029495916666666665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.5904347826087255e-08,5.519388260869563e-06,4.685304347826151e-08,-6.486773913043478e-06,-4.1175217391304475e-08,-1.8381304347826002e-08,1.8341347826086958e-06,3.506695652173915e-08,-7.2548017391304355e-06,-3.2329130434782726e-08,3.0319243478260867e-06,1.2727826086956418e-07,2.9690869565216955e-08,-6.069483913043477e-06,-2.6549130434782905e-08,6.008822173913043e-06,8.224869565217377e-08,2.6145652173912715e-08,-2.641373043478261e-06,-2.25252173913043e-08,7.2003895652173926e-06,5.9066086956522254e-08,-2.1847e-06,-6.036565217391283e-08,3.224097826086957e-06,-6.396092173913044e-06,7.162726956521738e-06,-5.663151304347827e-06,1.6700486956521741e-06,1.4392391304347896e-07,-3.469121304347826e-06,6.5353917391304345e-06,-7.199396086956524e-06,5.286998260869565e-06,-1.0634304347826082e-06,4.921350434782608e-06,4.035507826086957e-06,3.1470791304347822e-06,2.183976956521741e-06,1.181839565217391e-06,-2.68578652173913e-06,-2.4833365217391297e-06,-2.0148347826086956e-06,-1.091710434782609e-06,-5.019530434782608e-07,-3.812521739130477e-08,5.489434782608781e-08,-6.045969565217394e-07,9.990347826086993e-08,-2.9833430434782605e-06
mix7,25,100,25,0.00024107541666666668,0.0003262912083333333,0.0003587242083333334,0.000321369875,0.0002433829166666667,0.00024293333333333332,0.00034812345833333335,0.0003602280833333333,0.0003029865833333333,0.00024397225000000005,0.00025268133333333336,0.0003591492916666667,0.00036096504166666663,0.0002840137083333334,0.00024425137499999993,0.00027197254166666675,0.00036012504166666663,0.00036145758333333344,0.0002645860833333334,0.0002444024999999999,0.0002919712916666667,0.00036075441666666663,0.00036097362499999994,0.00024537445833333334,0.0003367507499999999,0.000292804125,0.00028859712499999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6968695652174106e-08,5.610714347826086e-06,6.734565217391375e-08,-6.407984782608696e-06,-3.19582608695653e-08,-9.785217391305074e-09,2.4127360869565213e-06,4.5642608695651955e-08,-7.2686556521739145e-06,-2.8245217391304577e-08,2.0908260869565216e-06,1.553969565217381e-07,3.7225652173912474e-08,-6.50167e-06,-2.5205652173912754e-08,5.2890343478260865e-06,9.771173913043488e-08,3.205130434782541e-08,-4.073633913043478e-06,-2.1655652173912703e-08,6.9759569565217375e-06,7.005913043478291e-08,-1.7141608695652236e-07,-8.007086956521708e-08,4.733016521739132e-06,-7.021168260869564e-06,6.764705652173912e-06,-4.182063043478261e-06,-4.594608695652222e-08,9.562834782608693e-07,-5.238426956521737e-06,7.114857391304347e-06,-6.578544782608696e-06,3.449305652173914e-06,1.1130086956521709e-07,5.453479565217391e-06,6.2861313043478255e-06,6.010640434782608e-06,4.9172756521739125e-06,4.0589134782608686e-06,-3.365491304347825e-07,-1.1291717391304346e-06,-5.860430434782606e-07,1.2359695652173914e-06,1.380806956521739e-06,8.158347826086862e-08,-2.0759565217391342e-07,5.37769130434783e-07,5.74425217391304e-07,-3.3453408695652173e-06
mix8,25,25,50,0.0002434231666666666,0.0003288022083333333,0.00036026679166666667,0.000322595625,0.00024436000000000005,0.0002437435833333333,0.0003488485833333333,0.00036074562500000004,0.0003033564583333334,0.0002442518333333333,0.000252927375,0.0003592703333333333,0.0003609589583333334,0.0002835292083333333,0.00024412454166666668,0.0002728303333333334,0.00035984974999999996,0.00036109324999999997,0.00026102825,0.00024400666666666662,0.00029485791666666666,0.00036021449999999993,0.00035659125,0.0002448082083333334,0.0003398160416666666,0.0002884922916666666,0.00029140825000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.42608695652182e-09,5.526108260869565e-06,5.361434782608698e-08,-6.422011739130433e-06,-3.9826956521739145e-08,-1.5899999999999993e-08,2.397911304347826e-06,3.992217391304372e-08,-7.273717826086956e-06,-3.291826086956512e-08,2.1000526086956525e-06,1.473982608695653e-07,3.275521739130514e-08,-6.465923043478263e-06,-2.6770869565216913e-08,5.408924347826089e-06,9.287130434782576e-08,2.834608695652235e-08,-3.509740869565219e-06,-2.2859130434782566e-08,7.081221739130436e-06,6.69121739130436e-08,-1.0839713043478256e-06,-7.455782608695556e-08,4.162047391304347e-06,-6.8285813043478265e-06,6.946585217391307e-06,-4.707202608695652e-06,-4.3982173913043563e-08,2.1716217391304327e-07,-4.8441421739130426e-06,7.0339256521739145e-06,-6.765526956521741e-06,3.924603043478261e-06,1.0034826086956542e-07,6.21294695652174e-06,6.001691304347828e-06,4.905170434782606e-06,4.001008260869565e-06,3.1422186956521725e-06,-1.3367773913043484e-06,-2.0499104347826085e-06,-9.920982608695651e-07,9.815813043478267e-07,2.3314521739130474e-07,-4.186713043478266e-07,4.1007434782608673e-07,1.0236673913043474e-06,2.2429043478260872e-07,-3.7106752173913043e-06
mix9,100,50,100,0.00024228091666666664,0.00033170808333333335,0.00036623970833333337,0.00033069291666666667,0.00025426533333333337,0.00025439245833333335,0.00035880562500000007,0.00037112150000000003,0.00031484149999999996,0.0002566007916666667,0.00026556541666666666,0.00037048670833333334,0.00037243954166666667,0.00029547820833333334,0.0002571652500000001,0.00028624741666666666,0.0003716309583333334,0.0003730395416666666,0.0002734363333333333,0.00025740641666666667,0.0003083336666666667,0.00037246716666666666,0.0003689465,0.0002587090833333333,0.0003525384166666667,0.0003019957083333333,0.00030480854166666665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1666956521739141e-07,5.688160869565216e-06,1.4330999999999942e-07,-6.294768695652173e-06,-6.575652173912142e-09,1.6878695652173432e-08,2.401450869565218e-06,5.663391304347874e-08,-7.169846086956524e-06,-2.5515217391304016e-08,2.129923478260869e-06,1.6456217391304305e-07,4.1020434782608904e-08,-6.321069130434783e-06,-2.744521739130485e-08,5.424655652173914e-06,1.0142043478260876e-07,3.4117826086956044e-08,-3.31614e-06,-2.312956521739027e-08,7.0170852173913065e-06,7.679217391304443e-08,-1.096086956521738e-06,-8.322434782608685e-08,4.116961739130435e-06,-6.747000434782608e-06,6.864229130434783e-06,-4.658212173913044e-06,9.331913043478335e-08,2.221682608695654e-07,-4.614139130434784e-06,6.872820869565218e-06,-6.797386086956523e-06,4.229960869565218e-06,1.104969565217392e-07,6.208419130434783e-06,5.713859130434784e-06,4.772999130434783e-06,3.678784782608697e-06,2.625073043478261e-06,-1.6464508695652179e-06,-2.7078730434782607e-06,-1.861350434782609e-06,2.1639826086956553e-07,-8.227521739130507e-08,-7.482130434782674e-08,1.7220000000000018e-07,-8.391395652173909e-07,1.755813043478264e-07,-2.9623813043478258e-06
